,kbps,kbps(avg)
  1133.132,6988.24,2311.78
  1137.136,1965.26,2310.56
  1141.140,1361.38,2307.24
  1145.144,8198.41,2327.77
  1149.148,6285.32,2341.51
  1153.152,9619.04,2366.69
  1157.156,8571.90,2388.09
  1161.160,5874.17,2400.07
  1165.164,8107.65,2419.62
  1169.168,4071.51,2425.25
  1173.172,5217.75,2434.75
  1177.176,5085.25,2443.74
  1181.180,4894.39,2452.02
  1185.184,3843.73,2456.70
  1189.188,3544.86,2460.35
  1193.192,3719.35,2464.56
  1197.196,3350.17,2467.52
  1201.200,5812.31,2478.63
  1205.204,3687.09,2482.63
  1209.208,5265.15,2491.81
  1213.212,6675.88,2505.58
  1217.216,1969.46,2503.82
  1221.220,1356.38,2500.07
  1225.224,1454.98,2496.67
  1229.228,145.70,2489.03
  1233.232,486.64,2482.55
  1237.236,6536.11,2495.63
  1241.240,5391.01,2504.94
  1245.244,1897.29,2502.99
  1249.248,2998.94,2504.57
  1253.252,2929.18,2505.93
  1257.256,3916.27,2510.40
  1261.260,2767.96,2511.22
  1265.264,989.77,2506.42
  1269.268,1348.05,2502.78
  1273.272,815.19,2497.49
  1277.276,2126.10,2496.33
  1281.280,1116.57,2492.03
  1285.284,604.46,2486.17
  1289.288,815.50,2480.99
  1293.292,1784.45,2478.84
  1297.296,1614.01,2476.18
  1301.300,2936.29,2477.59
  1305.304,2871.50,2478.80
  1309.308,2007.88,2477.36
  1313.312,1123.10,2473.25
  1317.316,904.01,2468.49
  1321.320,1576.34,2465.80
  1325.324,507.38,2459.90
  1329.328,2827.34,2461.00
  1333.332,3228.45,2463.30
  1337.336,2414.10,2463.15
  1341.340,3966.82,2467.63
  1345.344,2420.51,2467.49
  1349.348,1213.14,2463.78
  1353.352,2178.11,2462.93
  1357.356,2194.61,2462.14
  1361.360,3220.78,2464.37
  1365.364,3123.58,2466.30
  1369.368,2583.72,2466.64
  1373.372,810.13,2461.82
  1377.376,1109.64,2457.90
  1381.380,817.36,2453.16
  1385.384,1294.38,2449.82
  1389.388,3440.90,2452.67
  1393.392,5281.21,2460.78
  1397.396,3769.78,2464.52
  1401.400,5530.91,2473.25
  1405.404,3162.02,2475.21
  1409.408,2368.12,2474.91
  1413.412,4581.70,2480.86
  1417.416,3984.07,2483.51
